0.00.038.117 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.145 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.038.145 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.038.465 W srv  llama_server: -----------------
0.00.038.466 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.467 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.467 W srv  llama_server: -----------------
0.00.039.680 I srv    load_model: loading model '/mnt/raid0/llm/models/bge-large-en-v1.5-f16.gguf'
0.00.244.663 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.367.838 W srv    load_model: speculative decoding not supported by this context
0.00.367.843 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.369.366 I srv  llama_server: model loaded
0.00.369.373 I srv  llama_server: listening on http://127.0.0.1:8090
4.15.726.063 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.15.726.090 I slot launch_slot_: id  3 | task 11 | processing task, is_child = 0
4.15.765.681 I slot      release: id  3 | task 11 | stop processing: n_tokens = 68, truncated = 0
4.15.767.100 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
4.15.767.107 I slot launch_slot_: id  2 | task 13 | processing task, is_child = 0
4.15.777.756 I slot      release: id  2 | task 13 | stop processing: n_tokens = 70, truncated = 0
4.15.778.709 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
4.15.778.714 I slot launch_slot_: id  1 | task 15 | processing task, is_child = 0
4.15.788.570 I slot      release: id  1 | task 15 | stop processing: n_tokens = 78, truncated = 0
4.15.789.543 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
4.15.789.547 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
4.15.798.048 I slot      release: id  0 | task 17 | stop processing: n_tokens = 71, truncated = 0
4.15.798.982 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126256773834
4.15.798.985 I slot launch_slot_: id  3 | task 19 | processing task, is_child = 0
4.15.810.680 I slot      release: id  3 | task 19 | stop processing: n_tokens = 55, truncated = 0
4.15.811.642 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126256785908
4.15.811.645 I slot launch_slot_: id  2 | task 21 | processing task, is_child = 0
4.15.820.608 I slot      release: id  2 | task 21 | stop processing: n_tokens = 51, truncated = 0
4.15.821.559 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126256796722
